id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
48390995,DANAÉ,196804784,Villa Erizio,Bordeaux,Saint Augustin - Tauzin - Alphonse Dupeux,44.8311,-0.58231,Entire home/apt,140,1,19,2022-08-26,1.41,10,311,15,33063005033BE
47904178,La maison au coin de la forêt de Magudas,386129386,Pauline,Saint-Mdard-en-Jalles,Saint-Mdard-en-Jalles,44.85705,-0.73088,Entire home/apt,40,1,1,2021-02-19,0.05,1,0,0,
48391078,YAO LI,196804784,Villa Erizio,Bordeaux,Saint Augustin - Tauzin - Alphonse Dupeux,44.83319,-0.58274,Entire home/apt,135,1,2,2021-09-11,0.14,10,323,0,33063005034C4
48212768,Appartement Calme à 15 min de bordeaux,319326512,Julia,Eysines,Eysines,44.89047,-0.63573,Entire home/apt,97,3,47,2022-08-20,2.48,2,345,19,
47912812,Chambre privée Bordeaux Bacalan,284717570,Eden,Bordeaux,Bordeaux Maritime,44.88151,-0.55167,Private room,30,1,160,2022-09-09,8.21,2,143,95,
48393426,Chambre privée à proximité de Bordeaux Centre.,69607472,Julien,Bordeaux,La Bastide,44.85091,-0.54208,Private room,34,1,26,2021-07-21,1.41,1,0,0,
47913297,Cab'in Bordeaux pour les pros!,71170438,Caroline,Bordeaux,La Bastide,44.85154,-0.54358,Private room,43,1,22,2022-07-01,1.21,2,0,15,3306300016483
47921394,Charmant appartement quartier St Michel,120199031,Alison,Bordeaux,Bordeaux Sud,44.83544,-0.56597,Entire home/apt,80,2,18,2022-08-28,1.00,1,1,14,330630053627C
48398763,Studio vue imprenable à 50m de la gare,96132992,Pierre Louis,Bordeaux,Bordeaux Sud,44.8263,-0.55847,Entire home/apt,71,5,38,2022-09-06,2.32,1,0,21,3306300513605
48218270,Chambres d'Hôtes de Charme - 'Les Voyageurs',70769701,Florence,Floirac,Floirac,44.8345,-0.51274,Private room,190,1,0,,,3,352,0,
47930000,Metz : Échoppe 75m2 avec belle terrasse,9382960,Kareen,Bordeaux,Centre ville (Bordeaux),44.83749,-0.59685,Entire home/apt,111,90,0,,,90,65,0,"Available with a mobility lease only (""bail mobilité"")"
47930001,Metz - Échoppe 75 m2 avec belle terrasse,72691486,Arnaud,Bordeaux,Centre ville (Bordeaux),44.83749,-0.59685,Entire home/apt,111,90,0,,,92,65,0,"Available with a mobility lease only (""bail mobilité"")"
47934579,Côté sud ouest,377011246,Khsime,Pessac,France Alouette,44.7789,-0.68103,Entire home/apt,75,1,17,2022-08-20,0.87,2,212,9,
48218364,Nice apartment with parking Bordeaux,414256747,Alfred,Bordeaux,Bordeaux Maritime,44.86176,-0.56703,Entire home/apt,82,2,19,2022-08-14,1.07,21,215,10,33063005078CD
